name,email,age,gender,city
John Doe,john.doe@example.com,28,Male,New York
Jane Smith,jane.smith@example.com,34,Female,Los Angeles
Alice Johnson,alice.johnson@example.com,45,Female,Chicago
Bob Brown,bob.brown@example.com,23,Male,Houston
Carol White,carol.white@example.com,39,Female,Phoenix
David Black,david.black@example.com,30,Male,Philadelphia
Eva Green,eva.green@example.com,27,Female,San Antonio
Frank Grey,frank.grey@example.com,50,Male,San Diego
Grace Blue,grace.blue@example.com,33,Female,Dallas
Henry Yellow,henry.yellow@example.com,41,Male,San Jose
